timestamp_ms,fatigue_level,continuous_score,state,rule,llm
1762215550819,3,0.300,ACTIVE,Maintain your pace and focus on form and breathing.,"Keep pushing through the pain, and remember to take a few deep breaths between each set
1762215642233,4,0.426,ACTIVE,Maintain your pace and focus on form and breathing.,"Breathe in deeply and let out slowly through your nose. Slowly exhale
1762215762677,3,0.299,ACTIVE,Maintain your pace and focus on form and breathing.,Keep breathing deeply and maintaining a steady pace. Remember to listen to your body and take breaks
1762216053886,3,0.300,ACTIVE,Maintain your pace and focus on form and breathing.,"Look at your body and you see that there are some more things to do.
"You
1762216098052,2,0.160,ACTIVE,Continue your set and keep a steady pace.,Keep your body warm and keep your body warm.
A healthy and healthy diet: Continue to lose
1762216151139,3,0.360,ACTIVE,Maintain your pace and focus on form and breathing.,"You are the one who is doing all the exercises."
This is why you should practice
1762216186599,4,0.473,ACTIVE,Maintain your pace and focus on form and breathing.,3-4 times.
Fatigue level: 5-6 times.
Rephrase the
1762220885266,1,0.000,ACTIVE,Continue your set and keep a steady pace.,Continue your set and keep a steady pace.
1762220923972,2,0.300,ACTIVE,Continue your set and keep a steady pace.,Continue your set and keep a steady pace.
1762220956862,3,0.382,ACTIVE,Maintain your pace and focus on form and breathing.,Maintain your pace and focus on form and breathing.
1762220988544,3,0.446,ACTIVE,Maintain your pace and focus on form and breathing.,Maintain your pace and focus on form and breathing.
1762221017452,3,0.495,ACTIVE,Maintain your pace and focus on form and breathing.,Maintain your pace and focus on form and breathing.
1762221216799,1,0.000,ACTIVE,You're fresh — keep your pace smooth and steady.,You're fresh — keep your pace smooth and steady.
1762221244637,2,0.166,ACTIVE,You're fresh — keep your pace smooth and steady.,You're fresh — keep your pace smooth and steady.
1762221276021,3,0.351,ACTIVE,You're approaching fatigue — focus on breathing and get ready to stop soon.,You're approaching fatigue — focus on breathing and get ready to stop soon.
1762221305567,3,0.396,ACTIVE,You're approaching fatigue — focus on breathing and get ready to stop soon.,You're approaching fatigue — focus on breathing and get ready to stop soon.
1762221338526,3,0.516,ACTIVE,That’s real fatigue setting in. Stop the set and rest for about 37 seconds.,That’s real fatigue setting in. Stop the set and rest for about 37 seconds.
1762221369277,4,0.661,ACTIVE,You’ve reached full fatigue. Stop completely and rest at least 60 seconds before continuing.,You’ve reached full fatigue. Stop completely and rest at least 60 seconds before continuing.
1762221401010,3,0.417,ACTIVE,That’s real fatigue setting in. Stop the set and rest for about 21 seconds.,That’s real fatigue setting in. Stop the set and rest for about 21 seconds.
1762221914250,1,0.000,ACTIVE,You're fresh — keep your pace smooth and steady.,You're fresh — keep your pace smooth and steady.
1762221949076,2,0.227,ACTIVE,Good rhythm — you're working hard but still in control.,Good rhythm — you're working hard but still in control.
1762221981262,2,0.310,ACTIVE,You're approaching fatigue — focus on breathing and get ready to stop soon.,You're approaching fatigue — focus on breathing and get ready to stop soon.
1762222030744,3,0.404,ACTIVE,That’s real fatigue setting in. Stop the set and rest for about 18 seconds.,That’s real fatigue setting in. Stop the set and rest for about 18 seconds.
1762222066238,4,0.583,ACTIVE,That’s real fatigue setting in. Stop the set and rest for about 48 seconds.,That’s real fatigue setting in. Stop the set and rest for about 48 seconds.
1762222102724,5,0.708,ACTIVE,You’ve reached full fatigue. Stop completely and rest at least 68 seconds before continuing.,You’ve reached full fatigue. Stop completely and rest at least 68 seconds before continuing.
1762222206199,2,0.343,ACTIVE,You're approaching fatigue — focus on breathing and get ready to stop soon.,You're approaching fatigue — focus on breathing and get ready to stop soon.
1762222234927,3,0.495,ACTIVE,That’s real fatigue setting in. Stop the set and rest for about 33 seconds.,That’s real fatigue setting in. Stop the set and rest for about 33 seconds.
1762222398132,1,0.000,ACTIVE,You're fresh — keep your pace smooth and steady.,You're fresh — keep your pace smooth and steady.
1762222436739,1,0.000,ACTIVE,You're fresh — keep your pace smooth and steady.,You're fresh — keep your pace smooth and steady.
1762222462664,2,0.180,ACTIVE,You're fresh — keep your pace smooth and steady.,You're fresh — keep your pace smooth and steady.
1762222492963,3,0.383,ACTIVE,You're approaching fatigue — focus on breathing and get ready to stop soon.,You're approaching fatigue — focus on breathing and get ready to stop soon.
1762222521939,4,0.568,ACTIVE,That’s real fatigue setting in. Stop the set and rest for about 45 seconds.,That’s real fatigue setting in. Stop the set and rest for about 45 seconds.
1762223395110,1,0.000,ACTIVE,You're fresh — keep your pace smooth and steady.,You're fresh — keep your pace smooth and steady.
1762223420688,1,0.000,ACTIVE,You're fresh — keep your pace smooth and steady.,You're fresh — keep your pace smooth and steady.
1762223498655,1,0.000,ACTIVE,You're fresh — keep your pace smooth and steady.,You're fresh — keep your pace smooth and steady.
1762223524613,2,0.215,ACTIVE,Good rhythm — you're working hard but still in control.,Good rhythm — you're working hard but still in control.
1762223550548,2,0.288,ACTIVE,Good rhythm — you're working hard but still in control.,Good rhythm — you're working hard but still in control.
1762223578476,3,0.399,ACTIVE,You're approaching fatigue — focus on breathing and get ready to stop soon.,You're approaching fatigue — focus on breathing and get ready to stop soon.
1762223610328,3,0.500,ACTIVE,That’s real fatigue setting in. Stop the set and rest for about 34 seconds.,That’s real fatigue setting in. Stop the set and rest for about 34 seconds.
1762223639290,4,0.650,ACTIVE,You’ve reached full fatigue. Stop completely and rest at least 59 seconds before continuing.,You’ve reached full fatigue. Stop completely and rest at least 59 seconds before continuing.
1762223666580,5,0.755,ACTIVE,You’ve reached full fatigue. Stop completely and rest at least 76 seconds before continuing.,You’ve reached full fatigue. Stop completely and rest at least 76 seconds before continuing.
1762223873247,1,0.000,ACTIVE,You're fresh — keep your pace smooth and steady.,You're fresh — keep your pace smooth and steady.
1762223898512,2,0.172,ACTIVE,You're fresh — keep your pace smooth and steady.,You're fresh — keep your pace smooth and steady.
1762223927293,3,0.379,ACTIVE,You're approaching fatigue — focus on breathing and get ready to stop soon.,You're approaching fatigue — focus on breathing and get ready to stop soon.
1762223957745,3,0.444,RESTING,That’s real fatigue setting in. Stop the set and rest for about 25 seconds.,That’s real fatigue setting in. Stop the set and rest for about 25 seconds.
1762223990568,2,0.237,ACTIVE,Good rhythm — you're working hard but still in control.,Good rhythm — you're working hard but still in control.
1762224018317,3,0.358,ACTIVE,You're approaching fatigue — focus on breathing and get ready to stop soon.,You're approaching fatigue — focus on breathing and get ready to stop soon.
1762224045709,3,0.457,RESTING,That’s real fatigue setting in. Stop the set and rest for about 27 seconds.,That’s real fatigue setting in. Stop the set and rest for about 27 seconds.
1762224078376,2,0.266,ACTIVE,Good rhythm — you're working hard but still in control.,Good rhythm — you're working hard but still in control.
1762224106452,3,0.396,ACTIVE,You're approaching fatigue — focus on breathing and get ready to stop soon.,You're approaching fatigue — focus on breathing and get ready to stop soon.
1762224135278,3,0.450,RESTING,That’s real fatigue setting in. Stop the set and rest for about 26 seconds.,That’s real fatigue setting in. Stop the set and rest for about 26 seconds.
1762224709184,1,0.000,ACTIVE,You're fresh — keep your pace smooth and steady.,You're fresh — keep your pace smooth and steady.
1762224734576,2,0.222,ACTIVE,Good rhythm — you're working hard but still in control.,Good rhythm — you're working hard but still in control.
1762224768415,3,0.352,ACTIVE,You're approaching fatigue — focus on breathing and get ready to stop soon.,You're approaching fatigue — focus on breathing and get ready to stop soon.
1762224800531,3,0.425,RESTING,That’s real fatigue setting in. Stop the set and rest for about 22 seconds.,That’s real fatigue setting in. Stop the set and rest for about 22 seconds.
1762224854666,2,0.273,ACTIVE,Good rhythm — you're working hard but still in control.,Good rhythm — you're working hard but still in control.
1762224882658,3,0.408,RESTING,That’s real fatigue setting in. Stop the set and rest for about 19 seconds.,That’s real fatigue setting in. Stop the set and rest for about 19 seconds.
1762224936753,2,0.297,ACTIVE,Good rhythm — you're working hard but still in control.,Good rhythm — you're working hard but still in control.
1762224964628,3,0.422,RESTING,That’s real fatigue setting in. Stop the set and rest for about 21 seconds.,That’s real fatigue setting in. Stop the set and rest for about 21 seconds.
1762225018715,2,0.257,ACTIVE,Good rhythm — you're working hard but still in control.,Good rhythm — you're working hard but still in control.
1762225058374,3,0.403,RESTING,That’s real fatigue setting in. Stop the set and rest for about 18 seconds.,That’s real fatigue setting in. Stop the set and rest for about 18 seconds.
1762739777700,1,0.000,ACTIVE,You're fresh — keep your pace smooth and steady.,You're fresh — keep your pace smooth and steady.
1762739801280,2,0.200,ACTIVE,You're fresh — keep your pace smooth and steady.,You're fresh — keep your pace smooth and steady.
1762739825517,2,0.300,ACTIVE,Good rhythm — you're working hard but still in control.,Good rhythm — you're working hard but still in control.
1762739853772,3,0.417,RESTING,That’s real fatigue setting in. Stop the set and rest for about 20 seconds.,That’s real fatigue setting in. Stop the set and rest for about 20 seconds.
1762739907563,2,0.268,ACTIVE,Good rhythm — you're working hard but still in control.,Good rhythm — you're working hard but still in control.
1762739934012,3,0.411,RESTING,That’s real fatigue setting in. Stop the set and rest for about 19 seconds.,That’s real fatigue setting in. Stop the set and rest for about 19 seconds.
1762739987643,2,0.266,ACTIVE,Good rhythm — you're working hard but still in control.,Good rhythm — you're working hard but still in control.
1762740014197,3,0.400,RESTING,That’s real fatigue setting in. Stop the set and rest for about 18 seconds.,That’s real fatigue setting in. Stop the set and rest for about 18 seconds.
1762740066187,2,0.253,ACTIVE,Good rhythm — you're working hard but still in control.,Good rhythm — you're working hard but still in control.
1762740091654,3,0.375,ACTIVE,You're approaching fatigue — focus on breathing and get ready to stop soon.,You're approaching fatigue — focus on breathing and get ready to stop soon.
1762740117855,3,0.495,RESTING,That’s real fatigue setting in. Stop the set and rest for about 33 seconds.,That’s real fatigue setting in. Stop the set and rest for about 33 seconds.
1762743014239,1,0.000,ACTIVE,You're fresh — keep your pace smooth and steady.,You're fresh — keep your pace smooth and steady.
1762743040610,1,0.000,ACTIVE,You're fresh — keep your pace smooth and steady.,You're fresh — keep your pace smooth and steady.
1762743070055,1,0.000,ACTIVE,You're fresh — keep your pace smooth and steady.,You're fresh — keep your pace smooth and steady.
1762743097500,1,0.000,ACTIVE,You're fresh — keep your pace smooth and steady.,You're fresh — keep your pace smooth and steady.
1762743125143,1,0.000,ACTIVE,You're fresh — keep your pace smooth and steady.,You're fresh — keep your pace smooth and steady.
1762743197274,1,0.000,ACTIVE,You're fresh — keep your pace smooth and steady.,You're fresh — keep your pace smooth and steady.
1762743223728,2,0.177,ACTIVE,You're fresh — keep your pace smooth and steady.,You're fresh — keep your pace smooth and steady.
1762743252168,3,0.363,ACTIVE,You're approaching fatigue — focus on breathing and get ready to stop soon.,You're approaching fatigue — focus on breathing and get ready to stop soon.
1762743282640,3,0.528,RESTING,That’s real fatigue setting in. Stop the set and rest for about 39 seconds.,That’s real fatigue setting in. Stop the set and rest for about 39 seconds.
1762743356806,3,0.352,ACTIVE,You're approaching fatigue — focus on breathing and get ready to stop soon.,You're approaching fatigue — focus on breathing and get ready to stop soon.
1762743385081,3,0.448,RESTING,That’s real fatigue setting in. Stop the set and rest for about 26 seconds.,That’s real fatigue setting in. Stop the set and rest for about 26 seconds.
1762744766446,1,0.000,ACTIVE,You're fresh — keep your pace smooth and steady.,You're fresh — keep your pace smooth and steady.
1762744790085,2,0.194,ACTIVE,You're fresh — keep your pace smooth and steady.,You're fresh — keep your pace smooth and steady.
1762744815999,2,0.337,ACTIVE,You're approaching fatigue — focus on breathing and get ready to stop soon.,You're approaching fatigue — focus on breathing and get ready to stop soon.
1762744845332,3,0.386,ACTIVE,You're approaching fatigue — focus on breathing and get ready to stop soon.,You're approaching fatigue — focus on breathing and get ready to stop soon.
1762744872185,3,0.477,RESTING,That’s real fatigue setting in. Stop the set and rest for about 30 seconds.,That’s real fatigue setting in. Stop the set and rest for about 30 seconds.
1762744933624,2,0.292,ACTIVE,Good rhythm — you're working hard but still in control.,Good rhythm — you're working hard but still in control.
1762744961830,3,0.432,RESTING,That’s real fatigue setting in. Stop the set and rest for about 23 seconds.,That’s real fatigue setting in. Stop the set and rest for about 23 seconds.
1762745018218,2,0.342,ACTIVE,You're approaching fatigue — focus on breathing and get ready to stop soon.,You're approaching fatigue — focus on breathing and get ready to stop soon.
1762745044434,3,0.470,RESTING,That’s real fatigue setting in. Stop the set and rest for about 29 seconds.,That’s real fatigue setting in. Stop the set and rest for about 29 seconds.
1762745979807,1,0.000,ACTIVE,You're fresh — keep your pace smooth and steady.,You're fresh — keep your pace smooth and steady.
1762746005266,2,0.199,ACTIVE,You're fresh — keep your pace smooth and steady.,You're fresh — keep your pace smooth and steady.
1762746032881,2,0.316,ACTIVE,You're approaching fatigue — focus on breathing and get ready to stop soon.,You're approaching fatigue — focus on breathing and get ready to stop soon.
1762746061567,3,0.434,RESTING,That’s real fatigue setting in. Stop the set and rest for about 23 seconds.,That’s real fatigue setting in. Stop the set and rest for about 23 seconds.
1762746120900,2,0.341,ACTIVE,You're approaching fatigue — focus on breathing and get ready to stop soon.,You're approaching fatigue — focus on breathing and get ready to stop soon.
1762746149740,3,0.487,RESTING,That’s real fatigue setting in. Stop the set and rest for about 32 seconds.,That’s real fatigue setting in. Stop the set and rest for about 32 seconds.
1762746208509,3,0.402,RESTING,That’s real fatigue setting in. Stop the set and rest for about 18 seconds.,That’s real fatigue setting in. Stop the set and rest for about 18 seconds.
1762746635416,1,0.000,ACTIVE,You're fresh — keep your pace smooth and steady.,You're fresh — keep your pace smooth and steady.
1762746665972,2,0.247,ACTIVE,Good rhythm — you're working hard but still in control.,Good rhythm — you're working hard but still in control.
1762746698173,2,0.343,ACTIVE,You're approaching fatigue — focus on breathing and get ready to stop soon.,You're approaching fatigue — focus on breathing and get ready to stop soon.
1762746729329,3,0.424,RESTING,That’s real fatigue setting in. Stop the set and rest for about 22 seconds.,That’s real fatigue setting in. Stop the set and rest for about 22 seconds.
1762746788027,2,0.293,ACTIVE,Good rhythm — you're working hard but still in control.,Good rhythm — you're working hard but still in control.
1762746818405,3,0.460,RESTING,That’s real fatigue setting in. Stop the set and rest for about 27 seconds.,That’s real fatigue setting in. Stop the set and rest for about 27 seconds.
1762748499384,1,0.000,ACTIVE,You're fresh — maintain your steady pace.,You're fresh — maintain your steady pace.,0.0798,0.2755
1762748535497,3,0.319,ACTIVE,Fatigue building — stay focused on form. Prepare to stop soon.,Fatigue building — stay focused on form. Prepare to stop soon.,0.6012,1.0000
1762748574536,2,0.222,ACTIVE,Good work — you're in your rhythm. Keep it controlled.,Good work — you're in your rhythm. Keep it controlled.,0.0650,0.2244
1762748616238,4,0.472,RESTING,Moderate fatigue detected. Stop and rest for 40 seconds.,Moderate fatigue detected. Stop and rest for 40 seconds.,0.1124,0.3347
1762748860821,1,0.089,ACTIVE,You're fresh — maintain your steady pace.,You're fresh — maintain your steady pace.,1.6113,1.0000
1762748892235,2,0.132,ACTIVE,You're fresh — maintain your steady pace.,You're fresh — maintain your steady pace.,1.9304,1.0000
1762748926447,4,0.408,ACTIVE,Fatigue building — stay focused on form. Prepare to stop soon.,Fatigue building — stay focused on form. Prepare to stop soon.,1.8685,0.9761
1762748960045,5,0.587,RESTING,Moderate fatigue detected. Stop and rest for 57 seconds.,Moderate fatigue detected. Stop and rest for 57 seconds.,1.7878,0.9448
